epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,2878.78,1.50742,0.66079,0.00333,0.88091,0.82671,0.88604,0.53627,1.54719,0.62536,0.00456,0.000951857,0.000951857,0.000951857
67,2921.61,1.51216,0.67855,0.00334,0.8848,0.80516,0.87849,0.53017,1.53196,0.65796,0.00451,0.000940855,0.000940855,0.000940855
68,2965.08,1.54748,0.69777,0.00339,0.87772,0.81773,0.88066,0.53539,1.51961,0.65168,0.0045,0.000929853,0.000929853,0.000929853
69,3007.92,1.54079,0.7045,0.00333,0.88735,0.81403,0.88148,0.54123,1.51923,0.64337,0.00442,0.00091885,0.00091885,0.00091885
70,3051.13,1.51249,0.68271,0.00339,0.88481,0.8055,0.8804,0.54315,1.51853,0.63932,0.00442,0.000907848,0.000907848,0.000907848
71,3094.1,1.50513,0.68638,0.0033,0.89246,0.80489,0.8845,0.54223,1.51556,0.62799,0.00447,0.000896846,0.000896846,0.000896846
72,3136.94,1.49093,0.66708,0.00321,0.8831,0.80905,0.87952,0.53393,1.51883,0.64366,0.00446,0.000885844,0.000885844,0.000885844
73,3179.54,1.5014,0.68677,0.0033,0.88305,0.81211,0.88763,0.54215,1.50997,0.63813,0.00448,0.000874842,0.000874842,0.000874842
74,3222.68,1.48676,0.65852,0.00332,0.88203,0.80712,0.8829,0.54367,1.50507,0.64757,0.0044,0.000863839,0.000863839,0.000863839
75,3265.74,1.506,0.65059,0.00327,0.88103,0.82233,0.88626,0.54424,1.50314,0.62651,0.00442,0.000852837,0.000852837,0.000852837
76,3308.6,1.48761,0.66531,0.00323,0.88389,0.82036,0.88693,0.54976,1.50185,0.61651,0.00445,0.000841835,0.000841835,0.000841835
77,3351.7,1.51355,0.67061,0.00329,0.88804,0.81741,0.88372,0.54453,1.52102,0.61675,0.00441,0.000830833,0.000830833,0.000830833
78,3395.45,1.50279,0.65691,0.00324,0.88809,0.83209,0.89031,0.54586,1.5047,0.61246,0.0044,0.000819831,0.000819831,0.000819831
79,3438.66,1.47838,0.6571,0.00322,0.89106,0.81983,0.88895,0.54833,1.49696,0.61171,0.00441,0.000808828,0.000808828,0.000808828
80,3482.59,1.48916,0.63148,0.0032,0.88778,0.82731,0.88945,0.54659,1.51072,0.6196,0.00442,0.000797826,0.000797826,0.000797826
81,3525.96,1.47695,0.65363,0.0032,0.88946,0.8262,0.88835,0.54764,1.49104,0.6162,0.00435,0.000786824,0.000786824,0.000786824
82,3568.77,1.48963,0.6545,0.00316,0.89835,0.82404,0.89472,0.54761,1.51135,0.61158,0.00443,0.000775822,0.000775822,0.000775822
83,3611.07,1.45079,0.63455,0.00316,0.89689,0.82022,0.88907,0.55041,1.49088,0.6255,0.00431,0.00076482,0.00076482,0.00076482
84,3654.11,1.47054,0.64958,0.00311,0.88857,0.82835,0.88907,0.54459,1.50678,0.61548,0.00441,0.000753817,0.000753817,0.000753817
85,3697.66,1.45144,0.62996,0.00311,0.87718,0.82726,0.88636,0.54724,1.49073,0.62583,0.00434,0.000742815,0.000742815,0.000742815
86,3742.01,1.44919,0.63384,0.00306,0.8932,0.8126,0.88459,0.55045,1.49268,0.62678,0.00435,0.000731813,0.000731813,0.000731813
87,3785.78,1.44309,0.63303,0.00302,0.88763,0.82247,0.88821,0.5498,1.49139,0.62513,0.0044,0.000720811,0.000720811,0.000720811
88,3829.59,1.46558,0.64081,0.0031,0.9003,0.82278,0.8887,0.54532,1.5062,0.61707,0.00441,0.000709809,0.000709809,0.000709809
89,3872.95,1.4478,0.61846,0.00305,0.89923,0.82302,0.88706,0.54477,1.49169,0.62337,0.00438,0.000698806,0.000698806,0.000698806
90,3917.04,1.46086,0.63218,0.00309,0.92005,0.80961,0.89234,0.54931,1.49061,0.61052,0.00437,0.000687804,0.000687804,0.000687804
91,3959.98,1.43963,0.62358,0.00307,0.91363,0.81347,0.88673,0.54651,1.49991,0.60234,0.00442,0.000676802,0.000676802,0.000676802
92,4002.87,1.42725,0.60888,0.00304,0.89736,0.82883,0.89276,0.55164,1.49927,0.60221,0.00442,0.0006658,0.0006658,0.0006658
93,4046.5,1.43474,0.61672,0.00301,0.90829,0.81318,0.88658,0.55225,1.49825,0.61897,0.00442,0.000654798,0.000654798,0.000654798
94,4089.07,1.44196,0.62143,0.00302,0.8942,0.82433,0.88873,0.55067,1.48592,0.61621,0.00434,0.000643795,0.000643795,0.000643795
95,4132.37,1.4194,0.59821,0.00305,0.90548,0.82208,0.89004,0.5491,1.49789,0.60185,0.00436,0.000632793,0.000632793,0.000632793
96,4175.79,1.44258,0.615,0.003,0.90097,0.82623,0.89242,0.55073,1.49723,0.60894,0.00436,0.000621791,0.000621791,0.000621791
97,4218.93,1.41569,0.60102,0.00294,0.90409,0.82251,0.88858,0.5513,1.49337,0.61162,0.00438,0.000610789,0.000610789,0.000610789
98,4261.68,1.42223,0.62497,0.003,0.90455,0.82184,0.88938,0.55309,1.48804,0.62619,0.00437,0.000599787,0.000599787,0.000599787
99,4305.02,1.42436,0.61896,0.00297,0.90722,0.81762,0.8925,0.55318,1.49411,0.6159,0.00437,0.000588784,0.000588784,0.000588784
100,4348.63,1.43343,0.61946,0.00297,0.8963,0.81959,0.88874,0.55281,1.49033,0.60946,0.00431,0.000577782,0.000577782,0.000577782
101,4391.98,1.42293,0.60414,0.00296,0.90911,0.81794,0.88936,0.552,1.49717,0.60429,0.00436,0.00056678,0.00056678,0.00056678
102,4434.93,1.40225,0.59669,0.003,0.90412,0.82331,0.89414,0.55021,1.50631,0.59143,0.00441,0.000555778,0.000555778,0.000555778
103,4477.95,1.39582,0.59348,0.00293,0.89705,0.83296,0.89505,0.55288,1.4925,0.60246,0.0044,0.000544776,0.000544776,0.000544776
104,4521.44,1.4113,0.59763,0.00296,0.91204,0.82399,0.89667,0.55279,1.49638,0.59577,0.00438,0.000533773,0.000533773,0.000533773
105,4564.84,1.39305,0.58985,0.00297,0.91559,0.81986,0.893,0.55393,1.48596,0.59944,0.00435,0.000522771,0.000522771,0.000522771
106,4608.7,1.3995,0.59232,0.00294,0.90758,0.82575,0.89566,0.55564,1.48925,0.59259,0.00434,0.000511769,0.000511769,0.000511769
107,4652.26,1.4037,0.60857,0.00298,0.9072,0.83213,0.89829,0.55519,1.48027,0.59578,0.00429,0.000500767,0.000500767,0.000500767
108,4694.76,1.38667,0.58507,0.00301,0.91081,0.83159,0.89749,0.5554,1.48208,0.59172,0.0043,0.000489765,0.000489765,0.000489765
109,4737.96,1.40376,0.604,0.00291,0.9023,0.83775,0.89744,0.55379,1.4883,0.58798,0.00434,0.000478762,0.000478762,0.000478762
110,4780.89,1.38537,0.58561,0.00291,0.91064,0.83799,0.90017,0.5541,1.48514,0.58698,0.00434,0.00046776,0.00046776,0.00046776
111,4824.03,1.3835,0.59303,0.00283,0.91048,0.83194,0.90002,0.55425,1.49482,0.58213,0.00434,0.000456758,0.000456758,0.000456758
112,4867.46,1.39361,0.59502,0.00289,0.91084,0.838,0.89823,0.55616,1.49089,0.58649,0.00435,0.000445756,0.000445756,0.000445756
113,4910.34,1.40291,0.60729,0.00292,0.90651,0.83868,0.89825,0.55799,1.48253,0.59743,0.00433,0.000434754,0.000434754,0.000434754
114,4953.48,1.4014,0.589,0.00281,0.90695,0.84137,0.90322,0.55752,1.48184,0.59689,0.00432,0.000423751,0.000423751,0.000423751
115,4996.48,1.37858,0.58377,0.00285,0.90612,0.83908,0.90077,0.56003,1.48385,0.59203,0.00432,0.000412749,0.000412749,0.000412749
116,5039.09,1.38128,0.56923,0.00279,0.90274,0.84668,0.9014,0.55982,1.48383,0.59475,0.0043,0.000401747,0.000401747,0.000401747
117,5082.29,1.38952,0.57057,0.00291,0.89733,0.84382,0.90063,0.5594,1.48153,0.59904,0.00424,0.000390745,0.000390745,0.000390745
118,5125.24,1.35176,0.56897,0.00281,0.91049,0.84228,0.89995,0.55928,1.48156,0.58798,0.00426,0.000379743,0.000379743,0.000379743
119,5167.37,1.34065,0.54276,0.00284,0.91793,0.83538,0.89972,0.55733,1.48598,0.58856,0.00434,0.00036874,0.00036874,0.00036874
120,5210.77,1.3438,0.57452,0.00276,0.90798,0.83573,0.8977,0.55979,1.47908,0.5946,0.00429,0.000357738,0.000357738,0.000357738
121,5254.21,1.33291,0.56244,0.00284,0.91611,0.82818,0.89831,0.56169,1.47938,0.59462,0.00434,0.000346736,0.000346736,0.000346736
122,5297.39,1.36031,0.55689,0.0028,0.90024,0.84076,0.90087,0.55852,1.48426,0.59093,0.00433,0.000335734,0.000335734,0.000335734
123,5340.48,1.34131,0.55047,0.00278,0.9047,0.83842,0.89989,0.55986,1.48525,0.58637,0.00432,0.000324732,0.000324732,0.000324732
124,5384,1.34848,0.56005,0.00279,0.90186,0.84728,0.90266,0.55946,1.48378,0.59284,0.00432,0.000313729,0.000313729,0.000313729
125,5428.48,1.34096,0.56305,0.00283,0.92482,0.83124,0.90073,0.55925,1.48595,0.58385,0.00435,0.000302727,0.000302727,0.000302727
126,5472.77,1.33672,0.54837,0.00274,0.90836,0.83293,0.89944,0.55668,1.49159,0.59073,0.00436,0.000291725,0.000291725,0.000291725
127,5516.99,1.3498,0.55752,0.00269,0.90147,0.84124,0.89832,0.55572,1.49716,0.58603,0.00437,0.000280723,0.000280723,0.000280723
128,5561.23,1.33881,0.55863,0.00275,0.91318,0.83511,0.89836,0.55653,1.49892,0.58107,0.0044,0.000269721,0.000269721,0.000269721
129,5605.62,1.3335,0.55025,0.00271,0.90767,0.84238,0.89904,0.559,1.48871,0.58444,0.00434,0.000258718,0.000258718,0.000258718
130,5649.83,1.35162,0.55645,0.00278,0.90243,0.84582,0.90069,0.55977,1.48878,0.58165,0.00433,0.000247716,0.000247716,0.000247716
131,5693.55,1.33032,0.54942,0.00268,0.89926,0.84384,0.90007,0.5601,1.48918,0.58133,0.00436,0.000236714,0.000236714,0.000236714
132,5736.98,1.33051,0.56027,0.00269,0.89833,0.84323,0.8972,0.56112,1.48849,0.58197,0.00435,0.000225712,0.000225712,0.000225712
133,5780.2,1.33561,0.56159,0.00274,0.9038,0.84141,0.89856,0.56099,1.48192,0.58882,0.00433,0.00021471,0.00021471,0.00021471
134,5824.04,1.34229,0.56418,0.00269,0.90246,0.84363,0.89942,0.56242,1.47831,0.5964,0.00431,0.000203707,0.000203707,0.000203707
135,5867.6,1.33836,0.55375,0.00269,0.90104,0.84665,0.90053,0.56035,1.47997,0.59237,0.00431,0.000192705,0.000192705,0.000192705
136,5911.98,1.31998,0.54062,0.00268,0.90515,0.85163,0.90131,0.56068,1.48167,0.58582,0.00432,0.000181703,0.000181703,0.000181703
137,5954.78,1.32513,0.55146,0.00265,0.90736,0.8501,0.90193,0.56049,1.48272,0.58413,0.00434,0.000170701,0.000170701,0.000170701
138,5998.16,1.32669,0.54816,0.00273,0.90439,0.84977,0.90108,0.5606,1.47924,0.59095,0.00433,0.000159699,0.000159699,0.000159699
139,6041.17,1.3125,0.54226,0.00264,0.90225,0.8476,0.90132,0.5615,1.48129,0.59174,0.00436,0.000148696,0.000148696,0.000148696
140,6083.99,1.32795,0.56074,0.00273,0.90544,0.84127,0.89927,0.56031,1.47916,0.59235,0.00434,0.000137694,0.000137694,0.000137694
141,6127.88,1.31464,0.51464,0.00264,0.90395,0.83945,0.89922,0.55703,1.48744,0.59066,0.00435,0.000126692,0.000126692,0.000126692
142,6170.02,1.29223,0.50661,0.0026,0.90478,0.83749,0.89949,0.55578,1.48875,0.59441,0.00435,0.00011569,0.00011569,0.00011569
143,6212.35,1.30565,0.51705,0.00261,0.90256,0.83603,0.89855,0.55474,1.49173,0.59566,0.00436,0.000104688,0.000104688,0.000104688
144,6253.96,1.29669,0.51848,0.00261,0.90859,0.83228,0.89782,0.55476,1.49197,0.5967,0.00436,9.36854e-05,9.36854e-05,9.36854e-05
145,6296.06,1.28952,0.49893,0.00257,0.90726,0.83399,0.89957,0.55486,1.49424,0.59392,0.00438,8.26832e-05,8.26832e-05,8.26832e-05
146,6337.77,1.29185,0.50915,0.00261,0.90962,0.83163,0.90078,0.55504,1.49504,0.59087,0.00438,7.1681e-05,7.1681e-05,7.1681e-05
147,6379.59,1.29755,0.50695,0.00254,0.90757,0.83294,0.90012,0.55538,1.49614,0.59133,0.00438,6.06788e-05,6.06788e-05,6.06788e-05
148,6421.56,1.29863,0.50718,0.00255,0.90574,0.83204,0.89893,0.5547,1.49646,0.59092,0.00439,4.96766e-05,4.96766e-05,4.96766e-05
149,6463.85,1.29389,0.5006,0.00254,0.90972,0.83103,0.8996,0.55585,1.49337,0.59199,0.00439,3.86744e-05,3.86744e-05,3.86744e-05
150,6505.5,1.29513,0.50247,0.00254,0.90898,0.83464,0.89929,0.55631,1.49019,0.59303,0.00438,2.76722e-05,2.76722e-05,2.76722e-05
